ncName,ncID,transID
RP11-275I14.4,NONHSAG004471,NONHSAT226039.1
RP11-275I14.4,NONHSAG004471,NONHSAT226040.1
RP11-275I14.4,NONHSAG004471,NONHSAT226041.1
RP5-956O18.2,NONHSAG004581,NONHSAT010114.2
RP5-956O18.2,NONHSAG004581,NONHSAT010115.2
RP5-956O18.2,NONHSAG004581,NONHSAT010116.2
RP5-956O18.2,NONHSAG004581,NONHSAT010117.2
RP5-956O18.2,NONHSAG004581,NONHSAT153095.1
RP5-956O18.2,NONHSAG004581,NONHSAT153096.1
RP5-956O18.3,NONHSAG004583,NONHSAT010119.2
PITRM1-AS1,NONHSAG005019,NONHSAT011004.2
PITRM1-AS1,NONHSAG005019,NONHSAT011005.2
PITRM1-AS1,NONHSAG005019,NONHSAT011006.2
PITRM1-AS1,NONHSAG005019,NONHSAT011007.2
PITRM1-AS1,NONHSAG005019,NONHSAT011009.2
PITRM1-AS1,NONHSAG005019,NONHSAT154921.1
PITRM1-AS1,NONHSAG005019,NONHSAT154922.1
PITRM1-AS1,NONHSAG005019,NONHSAT154923.1
PITRM1-AS1,NONHSAG005019,NONHSAT154924.1
RP11-336A10.2,NONHSAG005114,NONHSAT011179.2
RP11-336A10.2,NONHSAG005114,NONHSAT011180.2
RP11-336A10.2,NONHSAG005114,NONHSAT156602.1
RP11-124N14.3,NONHSAG005323,NONHSAT011612.2
RP11-124N14.3,NONHSAG005323,NONHSAT156730.1
RP11-124N14.3,NONHSAG005323,NONHSAT228832.1
RP11-124N14.3,NONHSAG005323,NONHSAT228833.1
RP11-499P20.2,NONHSAG005339,NONHSAT011639.2
RP11-499P20.2,NONHSAG005339,NONHSAT011642.2
RP11-499P20.2,NONHSAG005339,NONHSAT011643.2
RP11-499P20.2,NONHSAG005339,NONHSAT011644.2
RP11-499P20.2,NONHSAG005339,NONHSAT011645.2
RP11-499P20.2,NONHSAG005339,NONHSAT156747.1
LINC00842,NONHSAG005796,NONHSAT013170.2
RP11-227H15.5,NONHSAG006108,NONHSAT013786.2
RP11-227H15.5,NONHSAG006108,NONHSAT013787.2
RP11-227H15.5,NONHSAG006108,NONHSAT157112.1
RP11-344N10.2,NONHSAG006188,NONHSAT013938.2
RP11-46O21.2,NONHSAG006248,NONHSAT014058.2
RP11-46O21.2,NONHSAG006248,NONHSAT014059.2
RP11-46O21.2,NONHSAG006248,NONHSAT014060.2
RP11-46O21.2,NONHSAG006248,NONHSAT157157.1
DNMBP-AS1,NONHSAG006668,NONHSAT015941.2
DNMBP-AS1,NONHSAG006668,NONHSAT015942.2
DNMBP-AS1,NONHSAG006668,NONHSAT155956.1
DNMBP-AS1,NONHSAG006668,NONHSAT228475.1
DNMBP-AS1,NONHSAG006668,NONHSAT228476.1
DNMBP-AS1,NONHSAG006668,NONHSAT228477.1
RP11-57H14.2,NONHSAG061550,NONHSAT016419.2
RP11-57H14.2,NONHSAG061550,NONHSAT157516.1
RP11-57H14.2,NONHSAG061550,NONHSAT157517.1
RP11-57H14.2,NONHSAG061550,NONHSAT229396.1
RP11-383C5.4,NONHSAG007132,NONHSAT016892.2
RP11-383C5.4,NONHSAG007132,NONHSAT016893.2
RP11-383C5.4,NONHSAG007132,NONHSAT016894.2
RP11-383C5.4,NONHSAG007132,NONHSAT016895.2
RP11-383C5.4,NONHSAG007132,NONHSAT016896.2
RP11-383C5.4,NONHSAG007132,NONHSAT016897.2
RP11-383C5.4,NONHSAG007132,NONHSAT016898.2
RP11-383C5.4,NONHSAG007132,NONHSAT016899.2
RP11-383C5.4,NONHSAG007132,NONHSAT016900.2
RP11-383C5.4,NONHSAG007132,NONHSAT016901.2
RP11-383C5.4,NONHSAG007132,NONHSAT016902.2
RP11-383C5.4,NONHSAG007132,NONHSAT016903.2
RP11-383C5.4,NONHSAG007132,NONHSAT016904.2
RP11-383C5.4,NONHSAG007132,NONHSAT016905.2
RP11-383C5.4,NONHSAG007132,NONHSAT016906.2
RP11-383C5.4,NONHSAG007132,NONHSAT016907.2
RP11-383C5.4,NONHSAG007132,NONHSAT016908.2
RP11-383C5.4,NONHSAG007132,NONHSAT016909.2
RP11-383C5.4,NONHSAG007132,NONHSAT016910.2
RP11-383C5.4,NONHSAG007132,NONHSAT016911.2
RP11-383C5.4,NONHSAG007132,NONHSAT016913.2
RP11-383C5.4,NONHSAG007132,NONHSAT157665.1
RP11-383C5.4,NONHSAG007132,NONHSAT157666.1
RP11-383C5.4,NONHSAG007132,NONHSAT157667.1
RP11-383C5.4,NONHSAG007132,NONHSAT157668.1
RP11-383C5.4,NONHSAG007132,NONHSAT157669.1
RP11-383C5.4,NONHSAG007132,NONHSAT157670.1
RP11-383C5.4,NONHSAG007132,NONHSAT157671.1
RP11-383C5.4,NONHSAG007132,NONHSAT157672.1
RP11-383C5.4,NONHSAG007132,NONHSAT157673.1
RP11-383C5.4,NONHSAG007132,NONHSAT157674.1
RP11-383C5.4,NONHSAG007132,NONHSAT157675.1
RP11-383C5.4,NONHSAG007132,NONHSAT157676.1
RP11-383C5.4,NONHSAG007132,NONHSAT157677.1
RP11-383C5.4,NONHSAG007132,NONHSAT157678.1
RP11-383C5.4,NONHSAG007132,NONHSAT157679.1
RP11-383C5.4,NONHSAG007132,NONHSAT157680.1
RP11-383C5.4,NONHSAG007132,NONHSAT229480.1
RP11-383C5.4,NONHSAG007132,NONHSAT229481.1
RP11-383C5.4,NONHSAG007132,NONHSAT229482.1
RP11-326C3.11,NONHSAG007297,NONHSAT017226.2
RP11-326C3.11,NONHSAG007297,NONHSAT017227.2
RP11-326C3.11,NONHSAG007297,NONHSAT017228.2
RP11-326C3.11,NONHSAG007297,NONHSAT229564.1
AP006621.9,NONHSAG007338,NONHSAT017306.2
AP006621.9,NONHSAG007338,NONHSAT159984.1
RP11-467K18.2,NONHSAG007607,NONHSAT017899.2
RP11-467K18.2,NONHSAG007607,NONHSAT017903.2
RP11-467K18.2,NONHSAG007607,NONHSAT017905.2
RP11-467K18.2,NONHSAG007607,NONHSAT017906.2
RP11-467K18.2,NONHSAG007607,NONHSAT017907.2
RP11-467K18.2,NONHSAG007607,NONHSAT229625.1
RP11-467K18.2,NONHSAG007607,NONHSAT229626.1
RP11-467K18.2,NONHSAG007607,NONHSAT229627.1
CTD-2371O3.2,NONHSAG007618,NONHSAT017921.2
RP11-685M7.5,NONHSAG007646,NONHSAT017980.2
RP11-685M7.5,NONHSAG007646,NONHSAT017981.2
RP11-685M7.5,NONHSAG007646,NONHSAT158826.1
RP11-872D17.4,NONHSAG008349,NONHSAT021406.2
RP11-697H9.2,NONHSAG008568,NONHSAT021894.2
RP11-697H9.2,NONHSAG008568,NONHSAT159196.1
RP11-21A7A.3,NONHSAG008586,NONHSAT021939.2
RP11-21A7A.3,NONHSAG008586,NONHSAT160403.1
CTD-2007L18.5,NONHSAG008859,NONHSAT022534.2
CTD-2007L18.5,NONHSAG008859,NONHSAT022535.2
CTD-2007L18.5,NONHSAG008859,NONHSAT022536.2
AP000487.6,NONHSAG008914,NONHSAT022644.2
CTA-797E19.2,NONHSAG008916,NONHSAT022647.2
CTA-797E19.2,NONHSAG008916,NONHSAT160486.1
AP000487.5,NONHSAG008921,NONHSAT022655.2
AP000487.5,NONHSAG008921,NONHSAT022656.2
AP000487.5,NONHSAG008921,NONHSAT022657.2
AP000487.5,NONHSAG008921,NONHSAT230597.1
AP000487.5,NONHSAG008921,NONHSAT230599.1
AP000487.5,NONHSAG008921,NONHSAT230600.1
AP000487.5,NONHSAG008921,NONHSAT230601.1
AP000487.5,NONHSAG008921,NONHSAT230602.1
AP000487.5,NONHSAG008921,NONHSAT230603.1
AP000487.5,NONHSAG008921,NONHSAT230606.1
RP11-849H4.4,NONHSAG008966,NONHSAT229938.1
RP11-849H4.4,NONHSAG008966,NONHSAT229939.1
RP11-849H4.4,NONHSAG008966,NONHSAT229940.1
RP11-727A23.4,NONHSAG009227,NONHSAT023387.2
RP11-727A23.5,NONHSAG009228,NONHSAT023388.2
RP11-727A23.5,NONHSAG009228,NONHSAT023393.2
RP11-727A23.5,NONHSAG009228,NONHSAT023394.2
RP11-727A23.5,NONHSAG009228,NONHSAT023395.2
RP11-727A23.5,NONHSAG009228,NONHSAT023396.2
RP11-727A23.5,NONHSAG009228,NONHSAT023397.2
RP11-727A23.5,NONHSAG009228,NONHSAT023398.2
RP11-727A23.5,NONHSAG009228,NONHSAT160576.1
RP11-727A23.5,NONHSAG009228,NONHSAT230705.1
RP11-727A23.5,NONHSAG009228,NONHSAT230706.1
RP11-727A23.5,NONHSAG009228,NONHSAT230707.1
RP11-727A23.5,NONHSAG009228,NONHSAT230708.1
RP11-727A23.7,NONHSAG009230,NONHSAT023400.2
RP11-727A23.7,NONHSAG009230,NONHSAT160577.1
RP11-727A23.7,NONHSAG009230,NONHSAT160578.1
RP11-160H12.2,NONHSAG009244,NONHSAT023418.2
RP11-160H12.2,NONHSAG009244,NONHSAT023419.2
RP11-160H12.2,NONHSAG009244,NONHSAT023420.2
RP11-160H12.2,NONHSAG009244,NONHSAT023421.2
SCARNA9,NONHSAG009372,NONHSAT023656.2
ALG9-IT1,NONHSAG009602,NONHSAT024158.2
