ncName,ncID,transID
Gm13093,NONMMUG031422,NONMMUT117770.1
Gm13096,NONMMUG031491,NONMMUT050790.2
Gm13096,NONMMUG031491,NONMMUT116047.1
Gm13097,NONMMUG031388,NONMMUT050651.2
Gm13110,NONMMUG031551,NONMMUT050898.2
Gm13110,NONMMUG031551,NONMMUT050899.2
Gm13110,NONMMUG031551,NONMMUT117842.1
Gm13110,NONMMUG031551,NONMMUT117843.1
Gm13110,NONMMUG031551,NONMMUT117844.1
Gm13111,NONMMUG031550,NONMMUT050897.2
Gm13112,NONMMUG031557,NONMMUT050912.2
Gm13112,NONMMUG031557,NONMMUT050913.2
Gm13112,NONMMUG031557,NONMMUT050914.2
Gm13112,NONMMUG031557,NONMMUT050915.2
Gm13112,NONMMUG031557,NONMMUT050916.2
Gm13115,NONMMUG031520,NONMMUT050839.2
Gm13116,NONMMUG031530,NONMMUT050867.2
Gm13120,NONMMUG031258,NONMMUT050454.2
Gm13121,NONMMUG031263,NONMMUT050459.2
Gm13131,NONMMUG030949,NONMMUT049980.2
Gm13133,NONMMUG031545,NONMMUT050886.2
Gm13133,NONMMUG031545,NONMMUT116070.1
Gm13134,NONMMUG031546,NONMMUT050887.2
Gm13134,NONMMUG031546,NONMMUT050888.2
Gm13147,NONMMUG031290,NONMMUT050543.2
Gm13147,NONMMUG031290,NONMMUT050544.2
Gm13156,NONMMUG031340,NONMMUT050573.2
Gm13165,NONMMUG031302,NONMMUT050518.2
Gm13165,NONMMUG031302,NONMMUT050519.2
Gm13165,NONMMUG031302,NONMMUT117703.1
Gm13166,NONMMUG031304,NONMMUT050522.2
Gm13166,NONMMUG031304,NONMMUT050523.2
Gm13166,NONMMUG031304,NONMMUT050526.2
Gm13166,NONMMUG031304,NONMMUT050527.2
Gm13166,NONMMUG031304,NONMMUT050528.2
Gm13166,NONMMUG031304,NONMMUT050529.2
Gm13171,NONMMUG031584,NONMMUT050959.2
Gm13175,NONMMUG021832,NONMMUT035424.2
Gm13175,NONMMUG021832,NONMMUT108629.1
Gm13179,NONMMUG021835,NONMMUT035428.2
Gm13179,NONMMUG021835,NONMMUT108630.1
Gm13180,NONMMUG021813,NONMMUT035396.2
Gm13180,NONMMUG021813,NONMMUT106557.1
Gm13184,NONMMUG021802,NONMMUT035385.2
Gm13185,NONMMUG021810,NONMMUT035393.2
Gm13187,NONMMUG021826,NONMMUT035414.2
Gm13187,NONMMUG021826,NONMMUT035415.2
Gm13187,NONMMUG021826,NONMMUT108628.1
Gm13188,NONMMUG021817,NONMMUT035401.2
Gm13189,NONMMUG021822,NONMMUT035409.2
Gm13189,NONMMUG021822,NONMMUT106561.1
Gm13194,NONMMUG021847,NONMMUT035447.2
Gm13200,NONMMUG031355,NONMMUT050598.2
Gm13200,NONMMUG031355,NONMMUT117717.1
Gm13205,NONMMUG031367,NONMMUT050616.2
Gm13205,NONMMUG031367,NONMMUT050617.2
Gm13205,NONMMUG031367,NONMMUT117754.1
Gm13206,NONMMUG031354,NONMMUT050596.2
Gm13206,NONMMUG031354,NONMMUT050597.2
Gm13207,NONMMUG031344,NONMMUT050579.2
Gm13211,NONMMUG021920,NONMMUT035545.2
Gm13218,NONMMUG021936,NONMMUT035566.2
Gm13219,NONMMUG021932,NONMMUT035558.2
Gm13219,NONMMUG021932,NONMMUT035559.2
Gm13219,NONMMUG021932,NONMMUT035560.2
Gm13219,NONMMUG021932,NONMMUT106610.1
Gm13227,NONMMUG031280,NONMMUT050487.2
Gm13227,NONMMUG031280,NONMMUT050488.2
Gm13227,NONMMUG031280,NONMMUT050489.2
Gm13227,NONMMUG031280,NONMMUT115959.1
Gm13234,NONMMUG031285,NONMMUT050495.2
Gm13252,NONMMUG030857,NONMMUT049820.2
Gm13254,NONMMUG021922,NONMMUT035547.2
Gm13256,NONMMUG021944,NONMMUT035574.2
Gm13256,NONMMUG021944,NONMMUT106611.1
Gm13261,NONMMUG021955,NONMMUT035593.2
Gm13261,NONMMUG021955,NONMMUT108669.1
Gm13261,NONMMUG021955,NONMMUT108670.1
Gm13261,NONMMUG021955,NONMMUT146683.1
Gm13261,NONMMUG021955,NONMMUT146684.1
Gm13261,NONMMUG021955,NONMMUT146685.1
Gm13261,NONMMUG021955,NONMMUT146686.1
Gm13262,NONMMUG021945,NONMMUT035578.2
Gm13262,NONMMUG021945,NONMMUT035579.2
Gm13262,NONMMUG021945,NONMMUT035580.2
Gm13262,NONMMUG021945,NONMMUT106612.1
Gm13264,NONMMUG021963,NONMMUT035723.2
Gm13266,NONMMUG022033,NONMMUT035831.2
Gm13266,NONMMUG022033,NONMMUT035832.2
Gm13266,NONMMUG022033,NONMMUT035833.2
Gm13266,NONMMUG022033,NONMMUT035834.2
Gm13266,NONMMUG022033,NONMMUT035835.2
Gm13266,NONMMUG022033,NONMMUT106648.1
Gm13266,NONMMUG022033,NONMMUT106649.1
Gm13266,NONMMUG022033,NONMMUT106650.1
Gm13266,NONMMUG022033,NONMMUT106651.1
Gm13266,NONMMUG022033,NONMMUT106655.1
Gm13267,NONMMUG021875,NONMMUT035483.2
Gm13267,NONMMUG021875,NONMMUT035484.2
Gm13267,NONMMUG021875,NONMMUT035486.2
Gm13267,NONMMUG021875,NONMMUT106581.1
Gm13269,NONMMUG022041,NONMMUT035843.2
Gm13269,NONMMUG022041,NONMMUT035844.2
Gm13269,NONMMUG022041,NONMMUT108707.1
