lncRNA,protein
NONMMUG021854,Tdp43
NONMMUG021861,Fus
NONMMUG021861,Tdp43
NONMMUG021862,Fus
NONMMUG021862,Tdp43
NONMMUG021863,Fus
NONMMUG021863,Tdp43
NONMMUG021866,Fus
NONMMUG021866,Tdp43
NONMMUG021868,Fus
NONMMUG021868,Tdp43
NONMMUG021874,Fus
NONMMUG021874,Mbnl1
NONMMUG021874,Tdp43
NONMMUG021874,Upf1
NONMMUG021885,Fus
NONMMUG021885,Tdp43
NONMMUG021889,Fus
NONMMUG021891,Fus
NONMMUG021891,Tdp43
NONMMUG021892,Fus
NONMMUG021892,Tardbp
NONMMUG021892,Tdp43
NONMMUG021893,Fus
NONMMUG021893,Tdp43
NONMMUG021894,Fus
NONMMUG021894,Nova1
NONMMUG021894,Tardbp
NONMMUG021894,Tdp43
NONMMUG021896,Fus
NONMMUG021896,Tdp43
NONMMUG021897,Fus
NONMMUG021897,Tdp43
NONMMUG021898,Fus
NONMMUG021898,Mbnl1
NONMMUG021898,Tardbp
NONMMUG021898,Tdp43
NONMMUG021899,Fus
NONMMUG021899,Tdp43
NONMMUG021901,Fus
NONMMUG021901,Tardbp
NONMMUG021901,Tdp43
NONMMUG021906,Fus
NONMMUG021906,Mbnl1
NONMMUG021906,Tdp43
NONMMUG021907,Fus
NONMMUG021907,Tdp43
NONMMUG021912,Fus
NONMMUG021912,Tardbp
NONMMUG021912,Tdp43
NONMMUG021917,Fus
NONMMUG021917,Tdp43
NONMMUG021918,Fus
NONMMUG021918,Tdp43
NONMMUG021946,Fus
NONMMUG021946,Tdp43
NONMMUG021947,Fus
NONMMUG021947,Tdp43
NONMMUG021947,Upf1
NONMMUG021948,Fus
NONMMUG021948,Upf1
NONMMUG021949,Fus
NONMMUG021949,Tdp43
NONMMUG021950,Fus
NONMMUG021950,Mbnl1
NONMMUG021950,Tdp43
NONMMUG021950,Upf1
NONMMUG021951,Fus
NONMMUG021979,Fus
NONMMUG021979,Tdp43
NONMMUG021984,Fus
NONMMUG021984,Tdp43
NONMMUG021984,Upf1
NONMMUG021985,Fus
NONMMUG021985,Upf1
NONMMUG021996,Fus
NONMMUG021997,Fus
NONMMUG021997,Tdp43
NONMMUG022003,Fus
NONMMUG022003,Tdp43
NONMMUG022011,Fus
NONMMUG022011,Tdp43
NONMMUG022013,Fus
NONMMUG022013,Tdp43
NONMMUG022020,Fus
NONMMUG022020,Nova1
NONMMUG022020,Tdp43
NONMMUG022023,Fus
NONMMUG022023,Nova1
NONMMUG022023,Tdp43
NONMMUG022028,Fus
NONMMUG022028,Nova1
NONMMUG022028,Tdp43
NONMMUG022032,Fus
NONMMUG022032,Tdp43
NONMMUG022035,Fus
NONMMUG022035,Tdp43
NONMMUG022037,Fus
NONMMUG022037,Tdp43
NONMMUG022039,Fus
NONMMUG022039,Tdp43
NONMMUG022040,Fus
NONMMUG022040,Tdp43
NONMMUG022044,Fus
NONMMUG022044,Tdp43
NONMMUG022045,Fus
NONMMUG022045,Tdp43
NONMMUG022047,Fus
NONMMUG022050,Fus
NONMMUG022050,Tdp43
NONMMUG022064,Fus
NONMMUG022064,Tdp43
NONMMUG022065,Fus
NONMMUG022065,Tardbp
NONMMUG022065,Tdp43
NONMMUG022066,Fus
NONMMUG022066,Tdp43
NONMMUG022067,Fus
NONMMUG022068,Fus
NONMMUG022068,Tdp43
NONMMUG022069,Fus
NONMMUG022069,JARID2
NONMMUG022069,Tdp43
NONMMUG022070,Fus
NONMMUG022070,Tardbp
NONMMUG022070,Tdp43
NONMMUG022071,Fus
NONMMUG022072,Fus
NONMMUG022072,Tdp43
NONMMUG022072,Upf1
NONMMUG022074,Fus
NONMMUG022079,Fus
NONMMUG022079,Tdp43
NONMMUG022081,Fus
NONMMUG022081,Tdp43
NONMMUG022082,Fus
NONMMUG022082,Tdp43
NONMMUG022083,Fus
NONMMUG022083,Tdp43
NONMMUG022084,Fus
NONMMUG022084,Tdp43
NONMMUG022086,Fus
NONMMUG022087,Fus
NONMMUG022087,Tardbp
NONMMUG022087,Tdp43
NONMMUG022087,Upf1
NONMMUG022088,Fus
NONMMUG022088,Nova1
NONMMUG022088,Tdp43
NONMMUG022099,Fus
NONMMUG022100,Fus
NONMMUG022104,Fus
NONMMUG022104,Tdp43
NONMMUG022110,Fus
NONMMUG022110,Tdp43
NONMMUG022111,Fus
NONMMUG022111,Tdp43
NONMMUG022113,Fus
NONMMUG022113,Tdp43
NONMMUG022114,Fus
NONMMUG022114,Tdp43
NONMMUG022116,Fus
NONMMUG022116,Tdp43
NONMMUG022117,Fus
NONMMUG022118,Fus
NONMMUG022118,Tdp43
NONMMUG022128,Fus
NONMMUG022128,Upf1
NONMMUG022132,Fus
NONMMUG022133,Fus
NONMMUG022133,Tdp43
NONMMUG022134,Fus
NONMMUG022135,Fus
NONMMUG022137,Fus
NONMMUG022137,Tardbp
NONMMUG022137,Tdp43
NONMMUG022145,Fus
NONMMUG022155,Fus
NONMMUG022155,Tardbp
NONMMUG022155,Tdp43
NONMMUG022157,Fus
NONMMUG022157,Tdp43
NONMMUG022157,Upf1
NONMMUG022158,Fus
NONMMUG022158,Tdp43
NONMMUG022160,Fus
NONMMUG022160,Tdp43
NONMMUG022163,Fus
NONMMUG022163,Tdp43
NONMMUG022165,Fus
NONMMUG022165,Tdp43
NONMMUG022173,Fus
NONMMUG022173,Tdp43
NONMMUG022173,Upf1
NONMMUG022184,Fus
NONMMUG022184,Tdp43
NONMMUG022187,Fus
NONMMUG022187,Tdp43
NONMMUG022196,Fus
NONMMUG022197,Fus
NONMMUG022197,Tdp43
NONMMUG022202,Fus
NONMMUG022202,Tdp43
NONMMUG022202,Upf1
NONMMUG022203,Fus
NONMMUG022204,Fus
NONMMUG022204,Tdp43
NONMMUG022207,Fus
NONMMUG022207,Tdp43
NONMMUG022207,Upf1
NONMMUG022210,Fus
NONMMUG022210,Tdp43
NONMMUG022213,Fus
NONMMUG022213,Tdp43
NONMMUG022214,Fus
NONMMUG022214,JARID2
NONMMUG022214,Upf1
NONMMUG022220,Fus
NONMMUG022220,Tdp43
NONMMUG022221,Fus
NONMMUG022221,Tdp43
NONMMUG022221,Upf1
NONMMUG022244,Fus
NONMMUG022247,Fus
NONMMUG022247,Tdp43
NONMMUG022255,Fus
NONMMUG022255,JARID2
NONMMUG022255,Upf1
NONMMUG022264,Fus
NONMMUG022264,Tdp43
NONMMUG022271,Fus
NONMMUG022271,Upf1
NONMMUG022276,Fus
NONMMUG022276,Tdp43
NONMMUG022283,Fus
NONMMUG022283,Tdp43
NONMMUG022283,Upf1
NONMMUG022286,Fus
NONMMUG022306,Fus
NONMMUG022317,Fus
NONMMUG022320,Fus
NONMMUG022322,Fus
NONMMUG022322,Tdp43
NONMMUG022340,Fus
NONMMUG022340,Tdp43
NONMMUG022340,Upf1
NONMMUG022362,Fus
NONMMUG022394,Fus
NONMMUG022394,Tdp43
NONMMUG022394,Upf1
NONMMUG022398,Fus
NONMMUG022398,Upf1
NONMMUG022401,Fus
NONMMUG022401,Tdp43
NONMMUG022408,Fus
NONMMUG022408,Tdp43
NONMMUG022410,Fus
NONMMUG022410,Tdp43
NONMMUG022411,Fus
NONMMUG022434,Fus
NONMMUG022434,Tdp43
NONMMUG022438,Fus
NONMMUG022439,Fus
NONMMUG022439,Upf1
NONMMUG022441,Fus
NONMMUG022442,Fus
NONMMUG022442,Tdp43
NONMMUG022449,Fus
NONMMUG022449,JARID2
NONMMUG022449,Tdp43
NONMMUG022449,Upf1
NONMMUG022456,Fus
NONMMUG022456,Tdp43
NONMMUG022456,Upf1
NONMMUG022467,Fus
NONMMUG022467,Tdp43
NONMMUG022467,Upf1
NONMMUG022473,Fus
NONMMUG022477,Fus
NONMMUG022477,Tdp43
NONMMUG022478,Fus
NONMMUG022478,Tdp43
NONMMUG022478,Upf1
NONMMUG022496,Fus
NONMMUG022496,Tdp43
NONMMUG022501,Fus
NONMMUG022501,Tdp43
NONMMUG022502,Fus
NONMMUG022502,Tdp43
NONMMUG022533,Fus
NONMMUG022534,Fus
NONMMUG022534,Tdp43
NONMMUG022539,Fus
NONMMUG022539,Tdp43
NONMMUG022539,Upf1
NONMMUG022541,Fus
NONMMUG022541,Tardbp
NONMMUG022541,Tdp43
NONMMUG022575,Fus
NONMMUG022575,Upf1
NONMMUG022591,Fus
NONMMUG022591,Tdp43
NONMMUG022606,Fus
NONMMUG022606,Tdp43
NONMMUG022612,Fus
NONMMUG022612,Tardbp
NONMMUG022612,Tdp43
NONMMUG022615,Fus
NONMMUG022615,Tdp43
NONMMUG022615,Upf1
NONMMUG022616,Fus
NONMMUG022616,Upf1
NONMMUG022622,Fus
NONMMUG022622,Tdp43
NONMMUG022626,Fus
NONMMUG022626,Tdp43
NONMMUG022627,Fus
NONMMUG022627,Nova1
NONMMUG022627,Tdp43
NONMMUG022627,Upf1
NONMMUG022630,Fus
NONMMUG022630,Tardbp
NONMMUG022630,Tdp43
NONMMUG022631,Fus
NONMMUG022631,Tardbp
NONMMUG022631,Tdp43
NONMMUG022631,Upf1
NONMMUG022634,Fus
NONMMUG022634,Tdp43
NONMMUG022639,Fus
NONMMUG022639,Nova1
NONMMUG022639,Tdp43
NONMMUG022648,Fus
NONMMUG022648,Tdp43
NONMMUG022649,Fus
NONMMUG022651,Fus
NONMMUG022651,Tdp43
NONMMUG022651,Upf1
NONMMUG022652,Fus
NONMMUG022652,Tardbp
NONMMUG022652,Tdp43
NONMMUG022655,Fus
NONMMUG022655,Tdp43
NONMMUG022656,Fus
NONMMUG022656,Tdp43
NONMMUG022659,Fus
NONMMUG022659,Tdp43
NONMMUG022660,Fus
NONMMUG022665,Fus
NONMMUG022665,Tardbp
NONMMUG022665,Tdp43
NONMMUG022670,Fus
NONMMUG022692,Fus
NONMMUG022696,Fus
NONMMUG022696,JARID2
NONMMUG022696,Tdp43
NONMMUG022703,Fus
NONMMUG022703,Tdp43
NONMMUG022705,Fus
NONMMUG022705,Tdp43
NONMMUG022732,Fus
NONMMUG022732,Mbnl1
NONMMUG022732,Tdp43
NONMMUG022733,Fus
NONMMUG022734,Fus
NONMMUG022734,Upf1
NONMMUG022736,Fus
NONMMUG022736,Tdp43
NONMMUG022740,Fus
NONMMUG022740,Mbnl1
NONMMUG022740,Nova1
NONMMUG022740,Tdp43
NONMMUG022741,Fus
NONMMUG022741,Tdp43
NONMMUG022743,Fus
NONMMUG022743,Upf1
NONMMUG022744,Fus
NONMMUG022744,Nova1
NONMMUG022744,Tdp43
NONMMUG022747,Fus
NONMMUG022747,JARID2
NONMMUG022747,Tardbp
NONMMUG022747,Tdp43
NONMMUG022747,Upf1
NONMMUG022748,Fus
NONMMUG022750,Fus
NONMMUG022750,Upf1
NONMMUG022752,Fus
NONMMUG022752,Tdp43
NONMMUG022753,Fus
NONMMUG022753,Nova1
NONMMUG022753,Tdp43
NONMMUG022753,Upf1
NONMMUG022755,Fus
NONMMUG022755,Tdp43
NONMMUG022757,Fus
NONMMUG022757,Tdp43
NONMMUG022757,Upf1
NONMMUG022759,Fus
NONMMUG022759,Tdp43
NONMMUG022760,Fus
NONMMUG022760,Tdp43
NONMMUG022761,Fus
NONMMUG022761,Tdp43
NONMMUG022762,Fus
NONMMUG022762,JARID2
NONMMUG022762,Mbnl1
NONMMUG022762,Tdp43
NONMMUG022762,Upf1
NONMMUG022763,Fus
NONMMUG022763,JARID2
NONMMUG022763,Tardbp
NONMMUG022763,Tdp43
NONMMUG022763,Upf1
NONMMUG022769,Fus
NONMMUG022769,Tdp43
NONMMUG022770,Fus
NONMMUG022770,Tdp43
NONMMUG022775,Fus
NONMMUG022775,Tdp43
NONMMUG022780,Fus
NONMMUG022782,Fus
NONMMUG022782,Tdp43
NONMMUG022783,Fus
NONMMUG022783,Tdp43
NONMMUG022783,Upf1
NONMMUG022793,Fus
NONMMUG022794,Fus
NONMMUG022794,Tdp43
NONMMUG022799,Fus
NONMMUG022799,Tdp43
NONMMUG022801,Fus
NONMMUG022801,Tdp43
NONMMUG022801,Upf1
NONMMUG022816,Fus
NONMMUG022816,Tdp43
NONMMUG022817,Fus
NONMMUG022817,Tdp43
NONMMUG022820,Fus
NONMMUG022820,Tdp43
NONMMUG022821,Fus
NONMMUG022821,Tdp43
NONMMUG022822,Fus
NONMMUG022823,Fus
NONMMUG022823,Tdp43
NONMMUG022824,Fus
NONMMUG022825,Fus
NONMMUG022826,Fus
NONMMUG022826,PABPC1
NONMMUG022826,Tdp43
NONMMUG022827,Fus
NONMMUG022827,Tdp43
NONMMUG022829,Fus
NONMMUG022829,Tdp43
NONMMUG022831,Fus
NONMMUG022831,Nova1
NONMMUG022831,Tdp43
NONMMUG022832,Fus
NONMMUG022832,Tdp43
NONMMUG022832,Upf1
NONMMUG022833,Fus
NONMMUG022833,Tdp43
NONMMUG022835,Fus
NONMMUG022835,Tdp43
NONMMUG022836,Fus
NONMMUG022836,Tdp43
NONMMUG022837,Fus
NONMMUG022837,Tdp43
NONMMUG022845,Fus
NONMMUG022845,Tdp43
NONMMUG022849,Fus
NONMMUG022849,Tdp43
NONMMUG022856,Fus
NONMMUG022856,Tdp43
NONMMUG022856,Upf1
NONMMUG022859,Fus
NONMMUG022863,Fus
NONMMUG022863,Tdp43
NONMMUG022865,Fus
NONMMUG022867,Fus
NONMMUG022867,Tdp43
NONMMUG022868,Fus
NONMMUG022868,Tardbp
NONMMUG022868,Tdp43
NONMMUG022869,Fus
NONMMUG022869,Tdp43
NONMMUG022869,Upf1
NONMMUG022870,Fus
NONMMUG022870,Mbnl1
NONMMUG022870,Tdp43
NONMMUG022871,Fus
NONMMUG022871,Tdp43
NONMMUG022873,Fus
NONMMUG022873,Tdp43
NONMMUG022876,Fus
NONMMUG022878,Fus
NONMMUG022878,Tdp43
NONMMUG022879,Fus
NONMMUG022879,Tdp43
NONMMUG022888,Fus
NONMMUG022888,Tdp43
NONMMUG022888,Upf1
NONMMUG022889,Fus
NONMMUG022900,Fus
NONMMUG022900,Tdp43
NONMMUG022900,Upf1
NONMMUG022901,Fus
NONMMUG022901,Tdp43
NONMMUG022903,Fus
NONMMUG022904,Fus
NONMMUG022904,Tdp43
NONMMUG022904,Upf1
NONMMUG022908,Fus
NONMMUG022908,Tdp43
NONMMUG022911,Fus
NONMMUG022911,Mbnl1
NONMMUG022911,Tdp43
NONMMUG022911,Upf1
NONMMUG022912,Fus
NONMMUG022912,Tdp43
NONMMUG022913,Fus
NONMMUG022913,Mbnl1
NONMMUG022913,Tdp43
NONMMUG022914,Fus
NONMMUG022914,Tdp43
NONMMUG022916,Fus
NONMMUG022917,Fus
NONMMUG022917,Tdp43
NONMMUG022918,Fus
NONMMUG022918,Tdp43
NONMMUG022920,Fus
NONMMUG022920,Tdp43
NONMMUG022922,Fus
NONMMUG022922,Tardbp
NONMMUG022922,Tdp43
NONMMUG022923,Fus
NONMMUG022923,Tdp43
NONMMUG022925,Fus
NONMMUG022925,Tdp43
NONMMUG022932,Fus
NONMMUG022935,Fus
NONMMUG022935,Tdp43
NONMMUG022937,Fus
NONMMUG022937,Tdp43
NONMMUG022938,Fus
NONMMUG022938,Tdp43
NONMMUG022950,Fus
NONMMUG022950,Tdp43
NONMMUG022964,Fus
NONMMUG022964,Tdp43
NONMMUG022976,Fus
NONMMUG022980,Fus
NONMMUG022980,Tdp43
NONMMUG022981,Fus
NONMMUG022981,Tardbp
NONMMUG022981,Tdp43
NONMMUG022982,Fus
NONMMUG022982,Tdp43
NONMMUG022985,Fus
NONMMUG022986,Fus
NONMMUG022986,Tardbp
NONMMUG022986,Tdp43
NONMMUG022986,Upf1
NONMMUG022987,Fus
NONMMUG022987,Tardbp
NONMMUG022987,Tdp43
NONMMUG022988,Fus
NONMMUG022988,Tdp43
NONMMUG022990,Fus
NONMMUG022990,Tdp43
NONMMUG022991,Fus
NONMMUG022991,Tdp43
NONMMUG022993,Fus
NONMMUG023000,Fus
NONMMUG023000,Tdp43
NONMMUG023001,Fus
NONMMUG023001,Mbnl1
NONMMUG023001,Tdp43
NONMMUG023001,Upf1
NONMMUG023002,Fus
NONMMUG023002,Tdp43
NONMMUG023003,Fus
NONMMUG023003,Tdp43
NONMMUG023004,Fus
NONMMUG023004,Tdp43
NONMMUG023005,Fus
NONMMUG023006,Fus
NONMMUG023006,Tdp43
NONMMUG023006,Upf1
NONMMUG023007,Fus
NONMMUG023007,Tdp43
NONMMUG023007,Upf1
NONMMUG023019,Fus
NONMMUG023019,Tdp43
NONMMUG023019,Upf1
NONMMUG023020,Fus
NONMMUG023020,Tdp43
NONMMUG023024,Fus
NONMMUG023026,Fus
NONMMUG023026,Tdp43
NONMMUG023027,Fus
NONMMUG023027,Tdp43
NONMMUG023027,Upf1
NONMMUG023029,Fus
NONMMUG023029,Tdp43
NONMMUG023037,Fus
NONMMUG023037,Tdp43
NONMMUG023042,Fus
NONMMUG023042,Tdp43
NONMMUG023050,Fus
NONMMUG023052,Fus
NONMMUG023052,Tdp43
NONMMUG023058,Fus
NONMMUG023058,Tdp43
NONMMUG023060,Fus
NONMMUG023060,Tdp43
NONMMUG023061,Fus
NONMMUG023061,Tdp43
NONMMUG023062,Fus
NONMMUG023062,Tdp43
NONMMUG023064,Fus
NONMMUG023064,Tdp43
NONMMUG023065,Fus
NONMMUG023065,Tdp43
NONMMUG023066,Fus
NONMMUG023066,Tardbp
NONMMUG023066,Tdp43
NONMMUG023067,Fus
NONMMUG023067,Tdp43
NONMMUG023068,Fus
NONMMUG023068,Tdp43
NONMMUG023071,Fus
NONMMUG023075,Fus
NONMMUG023075,Tdp43
NONMMUG023075,Upf1
NONMMUG023076,Fus
NONMMUG023076,Upf1
NONMMUG023078,Fus
NONMMUG023078,Tdp43
NONMMUG023090,Fus
NONMMUG023090,Tdp43
NONMMUG023090,Upf1
NONMMUG023092,Fus
NONMMUG023092,Tdp43
NONMMUG023094,Fus
NONMMUG023094,Tdp43
NONMMUG023095,Fus
NONMMUG023095,Mbnl1
NONMMUG023095,Tdp43
NONMMUG023095,Upf1
NONMMUG023102,Fus
NONMMUG023107,Fus
NONMMUG023107,Tdp43
NONMMUG023107,Upf1
NONMMUG023108,Fus
NONMMUG023108,Tdp43
NONMMUG023111,Fus
NONMMUG023111,Upf1
NONMMUG023114,Fus
NONMMUG023114,Tdp43
NONMMUG023114,Upf1
NONMMUG023115,Fus
NONMMUG023115,Tdp43
NONMMUG023131,Fus
NONMMUG023132,Fus
NONMMUG023132,Tdp43
NONMMUG023135,Fus
NONMMUG023135,Tdp43
NONMMUG023136,Fus
NONMMUG023136,Tdp43
NONMMUG023139,Fus
NONMMUG023139,Tdp43
NONMMUG023141,Fus
NONMMUG023141,Tdp43
NONMMUG023148,Fus
NONMMUG023160,Fus
NONMMUG023160,Tdp43
NONMMUG023173,Fus
NONMMUG023173,Tdp43
NONMMUG023176,Fus
NONMMUG023176,Nova1
NONMMUG023176,Tdp43
NONMMUG023176,Upf1
NONMMUG023177,Fus
NONMMUG023177,Tdp43
NONMMUG023177,Upf1
NONMMUG023179,Fus
NONMMUG023179,Tdp43
NONMMUG023179,Upf1
NONMMUG023180,Fus
NONMMUG023180,Tdp43
NONMMUG023181,Fus
NONMMUG023181,Tdp43
NONMMUG023182,Fus
NONMMUG023182,Tdp43
NONMMUG023183,Fus
NONMMUG023183,Tdp43
NONMMUG023184,Fus
NONMMUG023184,Tdp43
NONMMUG023185,Fus
NONMMUG023185,Tdp43
NONMMUG023186,Fus
NONMMUG023186,Tdp43
NONMMUG023190,Fus
NONMMUG023190,Tdp43
NONMMUG023192,Fus
NONMMUG023193,Fus
NONMMUG023193,Tdp43
NONMMUG023193,Upf1
NONMMUG023194,Fus
NONMMUG023194,Tdp43
NONMMUG023195,Fus
NONMMUG023195,Nova1
NONMMUG023195,Tdp43
NONMMUG023205,Fus
NONMMUG023205,Tdp43
NONMMUG023213,Fus
NONMMUG023213,Tardbp
NONMMUG023213,Tdp43
NONMMUG023221,Fus
NONMMUG023221,Tdp43
NONMMUG023223,Fus
NONMMUG023223,Tdp43
NONMMUG023224,Fus
NONMMUG023224,Tdp43
NONMMUG023225,Fus
NONMMUG023225,Tdp43
NONMMUG023229,Fus
NONMMUG023229,Tdp43
NONMMUG023230,Fus
NONMMUG023230,Tdp43
NONMMUG023235,Fus
NONMMUG023235,Tdp43
NONMMUG023236,Fus
NONMMUG023238,Fus
NONMMUG023238,Mbnl1
NONMMUG023238,Tdp43
NONMMUG023239,Fus
NONMMUG023240,Fus
NONMMUG023240,Tdp43
NONMMUG023241,Fus
NONMMUG023241,Tdp43
NONMMUG023244,Fus
NONMMUG023244,Tdp43
NONMMUG023253,Fus
NONMMUG023253,JARID2
NONMMUG023253,Tdp43
NONMMUG023254,Fus
NONMMUG023254,Tdp43
NONMMUG023255,Fus
NONMMUG023255,Tdp43
NONMMUG023256,Fus
NONMMUG023256,Tdp43
NONMMUG023258,Fus
NONMMUG023258,Tdp43
NONMMUG023259,Fus
NONMMUG023259,Tdp43
NONMMUG023260,Fus
NONMMUG023260,Tdp43
NONMMUG023261,Fus
NONMMUG023261,Tdp43
NONMMUG023262,Fus
NONMMUG023263,Fus
NONMMUG023264,Fus
NONMMUG023264,Tdp43
NONMMUG023268,Fus
NONMMUG023268,Tdp43
NONMMUG023270,Fus
NONMMUG023277,Fus
NONMMUG023277,Tardbp
NONMMUG023277,Tdp43
NONMMUG023277,Upf1
NONMMUG023279,Fus
NONMMUG023279,Upf1
NONMMUG023280,Fus
NONMMUG023280,Tdp43
NONMMUG023281,Fus
NONMMUG023282,Fus
NONMMUG023282,Tdp43
NONMMUG023282,Upf1
NONMMUG023283,Fus
NONMMUG023283,Tdp43
NONMMUG023283,Upf1
NONMMUG023284,Fus
NONMMUG023284,Tardbp
NONMMUG023284,Tdp43
NONMMUG023284,Upf1
NONMMUG023308,Fus
NONMMUG023308,Tardbp
NONMMUG023308,Tdp43
NONMMUG023308,Upf1
NONMMUG023316,Fus
NONMMUG023328,Fus
NONMMUG023331,Fus
NONMMUG023331,JARID2
NONMMUG023331,Tardbp
NONMMUG023331,Tdp43
NONMMUG023331,Upf1
NONMMUG023333,Fus
NONMMUG023333,Tardbp
NONMMUG023333,Tdp43
NONMMUG023333,Upf1
NONMMUG023343,Fus
NONMMUG023347,Fus
NONMMUG023347,Nova1
NONMMUG023347,Tdp43
NONMMUG023348,Fus
NONMMUG023348,Upf1
NONMMUG023352,Fus
NONMMUG023352,Tdp43
NONMMUG023353,Fus
NONMMUG023356,Fus
NONMMUG023356,Upf1
NONMMUG023359,Fus
NONMMUG023359,Upf1
NONMMUG023369,Fus
NONMMUG023370,Fus
NONMMUG023370,Tdp43
NONMMUG023374,Fus
NONMMUG023374,Tdp43
NONMMUG023375,Fus
NONMMUG023375,Tdp43
NONMMUG023376,Fus
NONMMUG023376,Tdp43
NONMMUG023392,Fus
NONMMUG023396,Fus
NONMMUG023396,PABPC1
NONMMUG023396,Tdp43
NONMMUG023396,Upf1
NONMMUG023399,Fus
NONMMUG023399,Tdp43
NONMMUG023409,Fus
NONMMUG023409,Tdp43
NONMMUG023419,Fus
NONMMUG023420,Fus
NONMMUG023420,Tdp43
NONMMUG023421,Fus
NONMMUG023429,Fus
NONMMUG023429,Tdp43
NONMMUG023429,Upf1
NONMMUG023432,Fus
NONMMUG023432,JARID2
NONMMUG023432,Tdp43
NONMMUG023432,Upf1
NONMMUG023439,Fus
NONMMUG023457,Fus
NONMMUG023458,Fus
NONMMUG023458,Tdp43
NONMMUG023463,Fus
NONMMUG023463,Tdp43
NONMMUG023463,Upf1
NONMMUG023476,Fus
NONMMUG023476,Tdp43
NONMMUG023476,Upf1
NONMMUG023477,Fus
NONMMUG023477,Tdp43
NONMMUG023480,Fus
NONMMUG023481,Fus
NONMMUG023482,Fus
NONMMUG023482,Upf1
NONMMUG023492,Fus
NONMMUG023492,Tdp43
NONMMUG023498,Fus
NONMMUG023501,Fus
NONMMUG023501,Tdp43
NONMMUG023503,Fus
NONMMUG023503,Tdp43
NONMMUG023506,Fus
NONMMUG023506,Tdp43
NONMMUG023509,Fus
NONMMUG023509,Tdp43
NONMMUG023529,Fus
NONMMUG023529,Tdp43
NONMMUG023530,Fus
NONMMUG023530,Tdp43
NONMMUG023539,Fus
NONMMUG023539,Tdp43
NONMMUG023548,Fus
NONMMUG023548,Tdp43
NONMMUG023548,Upf1
NONMMUG023551,Fus
NONMMUG023551,Tdp43
NONMMUG023559,Fus
NONMMUG023561,Fus
NONMMUG023561,Tdp43
NONMMUG023570,Fus
NONMMUG023570,Tdp43
NONMMUG023574,Fus
NONMMUG023574,Tardbp
NONMMUG023574,Tdp43
NONMMUG023575,Fus
NONMMUG023582,Fus
NONMMUG023582,Tdp43
NONMMUG023586,Fus
NONMMUG023586,JARID2
NONMMUG023586,Nova1
NONMMUG023586,Tardbp
NONMMUG023586,Tdp43
NONMMUG023586,Upf1
NONMMUG023588,Fus
NONMMUG023588,Tdp43
NONMMUG023589,Fus
NONMMUG023590,Fus
NONMMUG023590,Tdp43
NONMMUG023601,Fus
NONMMUG023601,Tdp43
NONMMUG023602,Fus
NONMMUG023602,Tdp43
NONMMUG023612,Fus
NONMMUG023612,Tdp43
NONMMUG023612,Upf1
NONMMUG023613,Fus
NONMMUG023613,Tdp43
NONMMUG023618,Fus
NONMMUG023619,Fus
NONMMUG023619,JARID2
NONMMUG023619,Mbnl1
NONMMUG023621,Fus
NONMMUG023628,Fus
NONMMUG023634,Fus
NONMMUG023634,Tdp43
NONMMUG023634,Upf1
NONMMUG023637,Fus
NONMMUG023637,Mbnl1
NONMMUG023637,Tardbp
NONMMUG023637,Tdp43
NONMMUG023637,Upf1
NONMMUG023645,Fus
NONMMUG023645,Tdp43
NONMMUG023646,Fus
NONMMUG023646,Tdp43
NONMMUG023646,Upf1
NONMMUG023647,Fus
NONMMUG023647,JARID2
NONMMUG023647,Tdp43
NONMMUG023647,Upf1
NONMMUG023657,Fus
NONMMUG023675,Fus
NONMMUG023718,Fus
NONMMUG023718,Tdp43
NONMMUG023719,Fus
NONMMUG023719,Nova1
NONMMUG023719,Tardbp
NONMMUG023719,Tdp43
NONMMUG023720,Fus
NONMMUG023720,Tdp43
NONMMUG023721,Fus
NONMMUG023721,Mbnl1
NONMMUG023721,Tardbp
NONMMUG023721,Tdp43
NONMMUG023736,Fus
NONMMUG023736,Tdp43
NONMMUG023743,Fus
NONMMUG023743,JARID2
NONMMUG023743,Tdp43
NONMMUG023745,Fus
NONMMUG023745,Tardbp
NONMMUG023745,Tdp43
NONMMUG023745,Upf1
NONMMUG023746,Fus
NONMMUG023746,Tdp43
NONMMUG023746,Upf1
NONMMUG023763,Fus
NONMMUG023774,Fus
NONMMUG023774,Tdp43
NONMMUG023775,Fus
NONMMUG023777,Fus
NONMMUG023777,Tdp43
NONMMUG023779,Fus
NONMMUG023779,Nova1
NONMMUG023779,Tdp43
NONMMUG023780,Fus
NONMMUG023781,Fus
NONMMUG023781,Tdp43
NONMMUG023781,Upf1
NONMMUG023783,Fus
NONMMUG023783,Tdp43
NONMMUG023791,Fus
NONMMUG023791,JARID2
NONMMUG023792,Fus
NONMMUG023792,Tdp43
NONMMUG023792,Upf1
NONMMUG023794,Fus
NONMMUG023794,Tdp43
NONMMUG023794,Upf1
NONMMUG023795,Fus
NONMMUG023795,JARID2
NONMMUG023795,Tdp43
NONMMUG023795,Upf1
NONMMUG023797,Fus
NONMMUG023797,JARID2
NONMMUG023797,Tdp43
NONMMUG023797,Upf1
NONMMUG023798,Fus
NONMMUG023798,Upf1
NONMMUG023799,Fus
NONMMUG023801,Fus
NONMMUG023801,Tdp43
NONMMUG023805,Fus
NONMMUG023805,JARID2
NONMMUG023805,Tdp43
NONMMUG023805,Upf1
