label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label31,0.565,0.545,0.792,0.338,0.646,0.146,0.57,0.539
label32,0.5,0.5,0.422,0.578,0.458,0,0.496,0.504
label33,0.497,0.497,0.604,0.39,0.545,-0.007,0.446,0.451
label34,0.468,0.474,0.591,0.344,0.526,-0.067,0.473,0.511
label35,0.5,0.5,0.584,0.416,0.539,0,0.485,0.501
label36,0.526,0.524,0.565,0.487,0.544,0.052,0.526,0.531
label37,0.432,0.439,0.494,0.37,0.465,-0.137,0.415,0.439
label38,0.539,0.529,0.721,0.357,0.61,0.084,0.492,0.462
label39,0.532,0.534,0.506,0.558,0.52,0.065,0.529,0.539
label40,0.461,0.464,0.506,0.416,0.484,-0.078,0.454,0.457
label41,0.575,0.56,0.695,0.455,0.62,0.154,0.585,0.535
label42,0.549,0.552,0.519,0.578,0.535,0.098,0.549,0.55
label43,0.536,0.53,0.623,0.448,0.573,0.073,0.534,0.506
label44,0.49,0.491,0.526,0.455,0.508,-0.02,0.507,0.501
label45,0.497,0.497,0.481,0.513,0.488,-0.006,0.52,0.517
label46,0.51,0.509,0.532,0.487,0.521,0.02,0.452,0.451
label47,0.458,0.45,0.383,0.532,0.414,-0.085,0.446,0.477
label48,0.419,0.415,0.396,0.442,0.405,-0.163,0.397,0.429
label49,0.409,0.408,0.403,0.416,0.405,-0.182,0.423,0.461
label50,0.519,0.526,0.39,0.649,0.448,0.04,0.513,0.544
label51,0.435,0.451,0.597,0.273,0.514,-0.137,0.414,0.468
label52,0.455,0.445,0.37,0.539,0.404,-0.092,0.458,0.507
label53,0.484,0.489,0.701,0.266,0.576,-0.036,0.457,0.465
label54,0.403,0.401,0.396,0.409,0.399,-0.195,0.4,0.439
label55,0.49,0.487,0.364,0.617,0.416,-0.02,0.486,0.541
label56,0.503,0.504,0.409,0.597,0.452,0.007,0.51,0.51
label57,0.451,0.443,0.377,0.526,0.407,-0.099,0.454,0.463
label58,0.442,0.439,0.422,0.461,0.43,-0.117,0.422,0.457
label59,0.497,0.497,0.506,0.487,0.502,-0.006,0.493,0.478
label60,0.481,0.481,0.481,0.481,0.481,-0.039,0.491,0.511
label61,0.383,0.392,0.422,0.344,0.406,-0.234,0.341,0.397
label62,0.51,0.513,0.383,0.636,0.439,0.02,0.485,0.54
label63,0.558,0.562,0.532,0.584,0.547,0.117,0.564,0.586
label64,0.5,0.5,0.351,0.649,0.412,0,0.51,0.529
label65,0.516,0.518,0.468,0.565,0.491,0.033,0.536,0.547
label66,0.523,0.522,0.539,0.506,0.53,0.045,0.492,0.494
label67,0.367,0.353,0.318,0.416,0.334,-0.268,0.338,0.42
label68,0.558,0.57,0.474,0.643,0.518,0.119,0.53,0.529
label69,0.448,0.447,0.435,0.461,0.441,-0.104,0.397,0.421
