label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label833,0.432,0.436,0.461,0.403,0.448,-0.137,0.412,0.442
label834,0.494,0.493,0.474,0.513,0.483,-0.013,0.493,0.503
label835,0.477,0.478,0.494,0.461,0.486,-0.045,0.477,0.535
label836,0.481,0.48,0.461,0.5,0.47,-0.039,0.478,0.529
label837,0.494,0.493,0.455,0.532,0.473,-0.013,0.453,0.475
label838,0.571,0.566,0.61,0.532,0.588,0.143,0.59,0.622
label839,0.503,0.503,0.481,0.526,0.492,0.007,0.519,0.589
label840,0.513,0.513,0.506,0.519,0.51,0.026,0.518,0.603
label841,0.542,0.541,0.552,0.532,0.547,0.084,0.565,0.637
label842,0.539,0.538,0.545,0.532,0.542,0.078,0.536,0.576
label843,0.545,0.546,0.539,0.552,0.542,0.091,0.548,0.588
label844,0.565,0.566,0.558,0.571,0.562,0.13,0.556,0.589
label845,0.513,0.514,0.468,0.558,0.49,0.026,0.512,0.556
label846,0.552,0.548,0.597,0.506,0.571,0.104,0.567,0.618
label847,0.51,0.51,0.513,0.506,0.511,0.019,0.487,0.53
label848,0.503,0.503,0.494,0.513,0.498,0.006,0.512,0.541
label849,0.532,0.53,0.571,0.494,0.55,0.065,0.5,0.602
label850,0.555,0.556,0.545,0.565,0.551,0.11,0.571,0.617
label851,0.494,0.494,0.494,0.494,0.494,-0.013,0.494,0.544
label852,0.497,0.497,0.526,0.468,0.511,-0.007,0.516,0.591
label853,0.532,0.53,0.578,0.487,0.553,0.065,0.533,0.604
label854,0.477,0.477,0.468,0.487,0.472,-0.045,0.496,0.516
label855,0.536,0.537,0.519,0.552,0.528,0.071,0.523,0.553
label856,0.568,0.57,0.552,0.584,0.561,0.136,0.583,0.632
label857,0.464,0.465,0.468,0.461,0.466,-0.071,0.478,0.532
label858,0.497,0.497,0.468,0.526,0.482,-0.007,0.504,0.522
label859,0.506,0.506,0.539,0.474,0.522,0.013,0.498,0.595
label860,0.513,0.514,0.494,0.532,0.503,0.026,0.514,0.598
label861,0.461,0.462,0.468,0.455,0.465,-0.078,0.46,0.529
label862,0.503,0.503,0.481,0.526,0.492,0.007,0.522,0.588
label863,0.484,0.484,0.494,0.474,0.489,-0.032,0.484,0.52
label864,0.471,0.471,0.474,0.468,0.472,-0.058,0.445,0.481
