label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label947,0.51,0.511,0.448,0.571,0.478,0.02,0.517,0.513
label948,0.484,0.485,0.539,0.429,0.511,-0.033,0.456,0.457
label949,0.471,0.471,0.468,0.474,0.469,-0.058,0.436,0.443
label950,0.529,0.527,0.571,0.487,0.548,0.059,0.534,0.537
label951,0.562,0.566,0.532,0.591,0.548,0.124,0.56,0.539
label952,0.503,0.504,0.429,0.578,0.463,0.007,0.496,0.522
label953,0.549,0.551,0.526,0.571,0.538,0.098,0.574,0.575
label954,0.484,0.484,0.494,0.474,0.489,-0.032,0.498,0.514
label955,0.494,0.494,0.539,0.448,0.516,-0.013,0.477,0.475
label956,0.513,0.513,0.5,0.526,0.507,0.026,0.498,0.51
label957,0.474,0.474,0.468,0.481,0.471,-0.052,0.47,0.475
label958,0.468,0.467,0.455,0.481,0.461,-0.065,0.47,0.476
label959,0.532,0.532,0.539,0.526,0.535,0.065,0.51,0.49
label960,0.461,0.466,0.526,0.396,0.494,-0.079,0.425,0.439
label961,0.49,0.491,0.519,0.461,0.505,-0.02,0.505,0.499
label962,0.494,0.495,0.584,0.403,0.536,-0.013,0.473,0.499
label963,0.516,0.519,0.442,0.591,0.477,0.033,0.509,0.508
label964,0.471,0.469,0.435,0.506,0.451,-0.059,0.464,0.459
label965,0.5,0.5,0.519,0.481,0.51,0,0.481,0.49
label966,0.438,0.431,0.383,0.494,0.405,-0.124,0.424,0.466
label967,0.549,0.548,0.552,0.545,0.55,0.097,0.567,0.53
label968,0.471,0.47,0.455,0.487,0.462,-0.058,0.49,0.489
label969,0.506,0.507,0.468,0.545,0.486,0.013,0.465,0.48
label970,0.474,0.474,0.468,0.481,0.471,-0.052,0.458,0.475
label971,0.532,0.531,0.552,0.513,0.541,0.065,0.535,0.513
label972,0.552,0.545,0.623,0.481,0.582,0.105,0.53,0.495
label973,0.442,0.442,0.448,0.435,0.445,-0.117,0.447,0.452
label974,0.484,0.483,0.448,0.519,0.465,-0.033,0.467,0.467
label975,0.516,0.519,0.442,0.591,0.477,0.033,0.522,0.521
label976,0.435,0.447,0.545,0.325,0.491,-0.133,0.384,0.429
label977,0.497,0.497,0.513,0.481,0.505,-0.006,0.49,0.495
label978,0.416,0.42,0.442,0.39,0.43,-0.169,0.389,0.425
label979,0.5,0.5,0.539,0.461,0.519,0,0.489,0.485
label980,0.442,0.442,0.448,0.435,0.445,-0.117,0.419,0.452
label981,0.49,0.488,0.409,0.571,0.445,-0.02,0.48,0.475
label982,0.474,0.473,0.455,0.494,0.464,-0.052,0.44,0.446
label983,0.455,0.459,0.513,0.396,0.485,-0.092,0.451,0.458
label984,0.532,0.532,0.532,0.532,0.532,0.065,0.536,0.514
label985,0.552,0.554,0.532,0.571,0.543,0.104,0.551,0.521
label986,0.497,0.496,0.448,0.545,0.471,-0.007,0.473,0.497
label987,0.477,0.476,0.448,0.506,0.462,-0.046,0.441,0.446
label988,0.591,0.592,0.584,0.597,0.588,0.182,0.586,0.598
label989,0.516,0.521,0.403,0.63,0.454,0.033,0.529,0.558
label990,0.442,0.438,0.416,0.468,0.427,-0.117,0.422,0.437
label991,0.487,0.489,0.584,0.39,0.533,-0.026,0.444,0.44
label992,0.516,0.516,0.513,0.519,0.515,0.032,0.483,0.485
label993,0.536,0.533,0.571,0.5,0.552,0.072,0.542,0.515
label994,0.461,0.458,0.422,0.5,0.439,-0.078,0.445,0.461
label995,0.519,0.521,0.481,0.558,0.5,0.039,0.534,0.573
label996,0.49,0.489,0.416,0.565,0.449,-0.02,0.479,0.482
label997,0.529,0.528,0.545,0.513,0.537,0.058,0.479,0.473
label998,0.487,0.487,0.494,0.481,0.49,-0.026,0.501,0.497
label999,0.445,0.444,0.442,0.448,0.443,-0.11,0.435,0.438
