label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label468,0.64,0.64,0.64,0.64,0.64,0.28,0.587,0.662
label469,0.16,0.185,0.2,0.12,0.192,-0.682,0.074,0.314
label470,0.54,0.542,0.52,0.56,0.531,0.08,0.48,0.482
label471,0.46,0.462,0.48,0.44,0.471,-0.08,0.406,0.417
label472,0.44,0.435,0.4,0.48,0.417,-0.12,0.427,0.437
label473,0.62,0.594,0.76,0.48,0.667,0.25,0.512,0.466
label474,0.4,0.414,0.48,0.32,0.444,-0.203,0.408,0.539
label475,0.26,0.269,0.28,0.24,0.275,-0.48,0.248,0.369
label476,0.3,0.273,0.24,0.36,0.255,-0.403,0.298,0.379
label477,0.6,0.586,0.68,0.52,0.63,0.203,0.626,0.609
label478,0.16,0.185,0.2,0.12,0.192,-0.682,0.077,0.315
label479,0.5,0.5,0.44,0.56,0.468,0,0.558,0.615
label480,0.28,0.31,0.36,0.2,0.333,-0.446,0.29,0.397
label481,0.44,0.435,0.4,0.48,0.417,-0.12,0.405,0.415
label482,0.4,0.4,0.4,0.4,0.4,-0.2,0.338,0.385
label483,0.44,0.44,0.44,0.44,0.44,-0.12,0.461,0.456
label484,0.38,0.385,0.4,0.36,0.392,-0.24,0.29,0.372
label485,0.46,0.455,0.4,0.52,0.426,-0.081,0.379,0.415
label486,0.46,0.458,0.44,0.48,0.449,-0.08,0.483,0.521
label487,0.6,0.593,0.64,0.56,0.615,0.201,0.616,0.683
label488,0.48,0.48,0.48,0.48,0.48,-0.04,0.392,0.436
label489,0.48,0.481,0.52,0.44,0.5,-0.04,0.389,0.409
label490,0.48,0.478,0.44,0.52,0.458,-0.04,0.47,0.447
label491,0.54,0.545,0.48,0.6,0.511,0.081,0.424,0.432
label492,0.54,0.55,0.44,0.64,0.489,0.082,0.53,0.498
label493,0.32,0.32,0.32,0.32,0.32,-0.36,0.296,0.378
label494,0.5,0.5,0.56,0.44,0.528,0,0.478,0.526
label495,0.54,0.542,0.52,0.56,0.531,0.08,0.544,0.591
label496,0.4,0.391,0.36,0.44,0.375,-0.201,0.339,0.392
label497,0.44,0.452,0.56,0.32,0.5,-0.124,0.429,0.429
label498,0.6,0.609,0.56,0.64,0.583,0.201,0.55,0.504
label499,0.58,0.577,0.6,0.56,0.588,0.16,0.555,0.591
label500,0.64,0.64,0.64,0.64,0.64,0.28,0.557,0.522
