label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label872,0.56,0.588,0.4,0.72,0.476,0.127,0.486,0.531
label873,0.56,0.6,0.36,0.76,0.45,0.131,0.515,0.564
label874,0.36,0.415,0.68,0.04,0.515,-0.364,0.125,0.362
label875,0.38,0.417,0.6,0.16,0.492,-0.267,0.186,0.34
label876,0.02,0.038,0.04,0,0.039,-0.961,0.019,0.307
label877,0.56,0.543,0.76,0.36,0.633,0.131,0.354,0.427
label878,0.06,0,0,0.12,0,-0.886,0.006,0.307
label879,0.62,0.688,0.44,0.8,0.537,0.257,0.496,0.564
label880,0.08,0.111,0.12,0.04,0.115,-0.843,0.058,0.311
label881,0.5,0.5,0.32,0.68,0.39,0,0.302,0.405
label882,0.62,0.688,0.44,0.8,0.537,0.257,0.645,0.607
label883,0.36,0.419,0.72,0,0.529,-0.403,0.115,0.324
label884,0.56,0.541,0.8,0.32,0.645,0.137,0.355,0.394
label885,0.2,0.105,0.08,0.32,0.091,-0.618,0.272,0.398
label886,0.34,0.3,0.24,0.44,0.267,-0.327,0.238,0.396
label887,0.48,0.486,0.72,0.24,0.581,-0.046,0.27,0.369
label888,0.4,0.222,0.08,0.72,0.118,-0.26,0.33,0.437
label889,0.02,0.038,0.04,0,0.039,-0.961,0.034,0.31
label890,0.06,0,0,0.12,0,-0.886,0.006,0.307
label891,0.06,0.042,0.04,0.08,0.041,-0.881,0.043,0.314
label892,0,0,0,0,0,-1,0,0.307
label893,0.56,0.588,0.4,0.72,0.476,0.127,0.598,0.587
label894,0.02,0.038,0.04,0,0.039,-0.961,0.035,0.311
label895,0,0,0,0,0,-1,0,0.307
label896,0.42,0.25,0.08,0.76,0.121,-0.218,0.283,0.404
label897,0.14,0,0,0.28,0,-0.75,0.093,0.323
label898,0.22,0.281,0.36,0.08,0.316,-0.583,0.062,0.315
label899,0.44,0.286,0.08,0.8,0.125,-0.173,0.086,0.323
label900,0.64,0.706,0.48,0.8,0.571,0.296,0.653,0.626
label901,0.56,0.543,0.76,0.36,0.633,0.131,0.406,0.444
label902,0.3,0.292,0.28,0.32,0.286,-0.4,0.29,0.38
label903,0.28,0.261,0.24,0.32,0.25,-0.441,0.288,0.37
label904,0.24,0.158,0.12,0.36,0.136,-0.536,0.355,0.456
label905,0.02,0,0,0.04,0,-0.961,0,0.307
label906,0.5,0.5,0.92,0.08,0.648,0,0.362,0.394
label907,0.58,0.556,0.8,0.36,0.656,0.178,0.394,0.408
label908,0.54,0.529,0.72,0.36,0.61,0.086,0.43,0.427
label909,0.46,0.444,0.32,0.6,0.372,-0.083,0.338,0.426
label910,0.48,0.444,0.16,0.8,0.235,-0.052,0.368,0.466
label911,0.18,0.056,0.04,0.32,0.047,-0.667,0.053,0.347
label912,0.52,0.538,0.28,0.76,0.368,0.046,0.33,0.44
label913,0.28,0,0,0.56,0,-0.531,0.008,0.307
label914,0.16,0.207,0.24,0.08,0.222,-0.689,0.058,0.312
label915,0.44,0.465,0.8,0.08,0.588,-0.173,0.157,0.334
label916,0.62,0.588,0.8,0.44,0.678,0.257,0.523,0.48
label917,0.58,0.556,0.8,0.36,0.656,0.178,0.45,0.451
label918,0.54,0.528,0.76,0.32,0.623,0.089,0.309,0.38
label919,0.3,0.308,0.32,0.28,0.314,-0.4,0.192,0.346
label920,0.62,0.588,0.8,0.44,0.678,0.257,0.427,0.459
label921,0.54,0.571,0.32,0.76,0.41,0.089,0.43,0.492
label922,0.52,0.529,0.36,0.68,0.429,0.042,0.37,0.462
label923,0.48,0.488,0.84,0.12,0.618,-0.058,0.122,0.331
label924,0.14,0.219,0.28,0,0.246,-0.75,0.062,0.312
label925,0.5,0.5,0.76,0.24,0.603,0,0.408,0.448
label926,0.42,0.452,0.76,0.08,0.567,-0.218,0.234,0.355
label927,0.5,0.5,0.36,0.64,0.419,0,0.282,0.392
label928,0.22,0.281,0.36,0.08,0.316,-0.583,0.245,0.382
label929,0,0,0,0,0,-1,0,0.307
label930,0.38,0.4,0.48,0.28,0.436,-0.245,0.315,0.38
label931,0.34,0.4,0.64,0.04,0.492,-0.4,0.235,0.369
label932,0.26,0.286,0.32,0.2,0.302,-0.483,0.242,0.379
label933,0.4,0.222,0.08,0.72,0.118,-0.26,0.39,0.443
label934,0.06,0.077,0.08,0.04,0.078,-0.881,0.022,0.308
label935,0.14,0.05,0.04,0.24,0.044,-0.735,0.04,0.346
label936,0.56,0.543,0.76,0.36,0.633,0.131,0.426,0.453
