label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label156,0.46,0.462,0.48,0.44,0.471,-0.08,0.376,0.467
label157,0.48,0.474,0.36,0.6,0.409,-0.041,0.57,0.6
label158,0.42,0.423,0.44,0.4,0.431,-0.16,0.382,0.504
label159,0.54,0.538,0.56,0.52,0.549,0.08,0.488,0.572
label160,0.56,0.565,0.52,0.6,0.542,0.12,0.549,0.637
label161,0.44,0.444,0.48,0.4,0.462,-0.12,0.424,0.528
label162,0.5,0.5,0.52,0.48,0.51,0,0.426,0.506
label163,0.44,0.435,0.4,0.48,0.417,-0.12,0.426,0.531
label164,0.54,0.545,0.48,0.6,0.511,0.081,0.602,0.643
label165,0.38,0.364,0.32,0.44,0.34,-0.242,0.37,0.466
label166,0.54,0.533,0.64,0.44,0.582,0.082,0.499,0.603
label167,0.48,0.483,0.56,0.4,0.519,-0.041,0.43,0.502
label168,0.52,0.519,0.56,0.48,0.538,0.04,0.527,0.628
label169,0.48,0.481,0.52,0.44,0.5,-0.04,0.499,0.586
label170,0.52,0.522,0.48,0.56,0.5,0.04,0.606,0.65
label171,0.46,0.469,0.6,0.32,0.526,-0.083,0.434,0.595
label172,0.52,0.524,0.44,0.6,0.478,0.041,0.562,0.566
label173,0.46,0.462,0.48,0.44,0.471,-0.08,0.461,0.584
label174,0.74,0.75,0.72,0.76,0.735,0.48,0.744,0.78
label175,0.46,0.458,0.44,0.48,0.449,-0.08,0.453,0.501
label176,0.56,0.556,0.6,0.52,0.577,0.12,0.57,0.659
