name,score,pred_label
PTPRG-AS1,1.0,1
CTB-58E17.9,0.9999999999999714,1
RP11-395B7.7,1.0,1
RP11-385F5.4,0.9999999999994289,1
RP11-779O18.3,0.9999999999999998,1
RP11-216L13.18,1.0,1
MIR4523,0.999999999798781,1
CTC-273B12.8,0.9955146425928469,1
NONHSAG008404,0.9997733223863037,1
ZNF205-AS1,1.0,1
RP11-613D13.5,0.9999999940290214,1
RP11-360L9.8,0.10076997467348962,0
RP5-864K19.4,1.0,1
AC093391.2,0.9999999956898356,1
RP11-85K15.2,1.0,1
CT49,1.0,1
ANKRD18A,1.0,1
HOXA-AS2,1.0,1
RP11-222A11.1,1.0,1
RP3-400N23.6,1.0,1
H1FX-AS1,1.0,1
AC015971.2,1.0,1
RP11-867G23.3,0.9999999999982676,1
CTD-2017D11.1,0.999999999948193,1
RP4-769N13.6,1.0,1
CTC-459F4.3,1.0,1
RP11-359D24.1,1.0,1
PHKB,3.6255784299344074e-06,0
AC005253.2,1.0,1
RP11-243J16.7,0.9999999999999827,1
LINC00176,1.0,1
AF196970.3,0.9999999999999674,1
RP11-256P1.1,1.0,1
CTD-2006C1.12,0.8516590227212674,1
RP11-288I21.1,0.9999999999999998,1
EIF3J-AS1,0.9999997990783258,1
RP11-775D22.3,0.9999999999990219,1
RP4-723E3.1,0.999999999935715,1
PARGP1,0.9999999999098381,1
AC006460.2,1.0,1
AC096559.1,0.9999999970689295,1
RP11-557C18.3,1.0,1
NONHSAG037420,1.0,1
RP11-264B17.2,0.9999999999832714,1
AD000090.2,1.0,1
RP11-471B22.2,0.020083175720339033,0
CTD-2349P21.11,0.0006895883365199264,0
DISC1FP1,1.0,1
OCIAD1-AS1,0.9999999999999998,1
CTD-2636A23.2,1.0,1
RP11-21A7A.2,1.0,1
NBPF18P,0.9999999999999989,1
AC002550.5,1.0,1
RP11-592B15.3,1.0,1
AC009133.15,1.0,1
RP11-274H2.2,0.9999999986621937,1
AP003419.11,1.0,1
MDC1-AS1,6.387849660176416e-17,0
AC016723.4,0.9999999999999989,1
CTC-542B22.2,0.9999998598931102,1
CTA-14H9.5,1.0,1
AC096574.4,1.0,1
CTD-2651B20.6,1.0,1
MEF2C-AS1,1.0,1
RP11-20B24.5,0.9928397411177331,1
HNRNPA2B1,0.12405537791290543,0
RP11-493K19.3,1.0,1
MIR17HG,1.0,1
RP11-428C19.4,1.0,1
DHRS4-AS1,1.0,1
